"","CH","GAM","DV","IZT","SLT","PESCER"
"01",8263,146,2321,4707,1430,0
"02",4132,326,2328,11398,5101,0
"03",1235,241,1006,5370,12801,0
"04",2173,697,3130,1191,31416,0
"05",9193,1476,2647,8157,80933,2794
"06",10566,1852,11588,7523,64603,1029
"07",9718,21549,4843,7076,38846,1844
"08",8183,22348,3749,6545,36801,2399
"09",7756,15305,3881,5612,33917,2020
"10",7005,12963,4311,5406,31698,2342
"11",6653,16435,5044,5656,29265,1368
"12",7688,24588,5988,8342,35439,1615
"13",8749,19903,6007,6911,32264,2750
"14",9753,20987,4963,7590,31143,217
"15",8400,23058,4558,7571,29166,2071
"16",6383,18276,5165,8166,25932,1011
"17",7120,17947,6180,8601,25392,825
"18",4928,14830,4321,8548,21391,1474
"19",3727,9678,2962,5775,13907,206
