"","Materia","MaxIntNuncaCert","MeanIntNuncaCert","ProbCert1a","ModeIntNuncaCert"
"111","CALCULO INTEGRAL",32,1.64490603363007,0.462376488472257,1
"21","ALGEBRA LINEAL",20,1.67912266450041,0.45982639661696,1
"107","CALCULO DIFERENCIAL",19,1.62394603709949,0.349299533022015,1
"198","CULTURA CIENTIFICA Y HUMANISTICA II",17,1.55936819172113,0.646323743097937,1
"1240.1","CALCULO DIFERENCIAL INTEGRAL",16,3.88118811881188,0.0543933054393305,2
"1246.1","ESTUDIOS SOCIALES E HISTORICOS II MOD-II",16,1.55377574370709,0.714376372955821,1
"1245.1","ESTUDIOS SOCIALES E HISTORICOS I MOD-I",15,1.45875027796309,0.70589828934128,1
"635","INGLES I",15,1.39622959097795,0.609275869612776,1
"676","INTRODUCCION A LA PROGRAMACION",15,1.40712468193384,0.464734419703943,1
"1034","QUIMICA DE LA CELULA",15,1.48283931357254,0.640216411181244,1
"316","ELECTRICIDAD Y MAGNETISMO",14,1.45945945945946,0.742565845369584,1
"1247.1","ESTUDIOS SOCIALES E HISTORICOS III MOD-I",14,1.51585144927536,0.743195333943275,1
"749","LENGUAJE Y PENSAMIENTO III",14,1.51506136110078,0.643343537202474,1
"1250.1","MECANICA I",14,1.47578589634664,0.474080267558528,1
"24","ALGEBRA Y GEOMETRIA ANALITICA",13,1.50076103500761,0.451566844517923,1
"76","ARTE Y COMUNICACION",13,1.4175,0.644323671497585,1
"747","LENGUAJE Y PENSAMIENTO I",13,1.44843658962905,0.649797647414804,1
"1267","TEORIA POLITICA I",13,1.56397849462366,0.56852450188476,1
"120","CELULA I",12,1.43927444794953,0.44748631159781,1
"421","FARMACOLOGIA",12,1.87784090909091,0.516429840142096,1
"429","FILOSOFIA DE LA ECONOMIA",12,1.56862745098039,0.566191446028513,1
"122","CELULA II",11,1.41903409090909,0.526842280760253,1
"177","CRECIMIENTO Y DESARROLLO I",11,1.38758029978587,0.725007161271842,1
"1243.1","ENFOQUES ESTRUCTURALISTAS EN COMUNICACION",11,1.5,0.804324324324324,1
"372","ESTADISTICA Y PROBABILIDAD",11,1.48785425101215,0.606533036377134,1
"427","FILOSOFIA DE LA CULTURA Y EL ARTE",11,1.37264150943396,0.745075318655852,1
"637","INGLES III",11,1.41172595520422,0.674637544718509,1
"735","LECTURA DE TEXTOS EN INGLES II",11,1.55456171735242,0.56980056980057,1
"736","LECTURA DE TEXTOS EN INGLES III",11,1.5154958677686,0.600752587017874,1
"887","NUTRICION",11,1.53008595988539,0.63113435237329,1
"959","POLITICAS Y PLANES DE SALUD",11,1.49689440993789,0.752919196637086,1
"1269","TEORIA POLITICA III",11,1.74285714285714,0.579946906269144,1
"89","BIOESTADISTICA",10,1.39684329199549,0.397238278741169,1
"112","CALCULO VECTORIAL",10,1.51731601731602,0.638632478632479,1
"159","COMUNICACION Y EDUCACION",10,1.39501779359431,0.797665369649806,1
"195","CUERPO HUMANO II",10,1.43426883308715,0.592048929663609,1
"197","CULTURA CIENTIFICA Y HUMANISTICA I",10,1.41663326653307,0.655874753001976,1
"497","FOTOGRAFIA BASICA",10,1.33261802575107,0.768601583113456,1
"636","INGLES II",10,1.44775212636695,0.608437275517534,1
"734","LECTURA DE TEXTOS EN INGLES I",10,1.3713163064833,0.613717062231359,1
"741","LEGISLACION SANITARIA",10,1.55102040816327,0.725366876310273,1
"807","MECANICA II",10,1.42728635682159,0.655629139072848,1
"852","MODELACION Y CONTROL DE TRAFICO",10,1.91666666666667,0.565022421524664,1
"1016","PROMOCION DE LA SALUD II",10,1.80882352941176,0.723712446351931,1
"1064","SALUD PUBLICA III",10,1.70454545454545,0.664656771799629,1
"1268","TEORIA POLITICA II",10,1.67064439140811,0.576962632841961,1
"1280","TERMODINAMICA Y FLUIDOS",10,1.43567251461988,0.778740419860047,1
"25","ALGEBRA Y GEOMETRIA ANALITICA (INGENIERIA)",9,1.58064516129032,0.209377526273242,1
"105","CAD EN INGENIERIA",9,1.20634920634921,0.736276849642005,1
"193","CUERPO HUMANO I",9,1.47460317460317,0.454963680387409,1
"199","CULTURA CIENTIFICA Y HUMANISTICA III",9,1.47347302719572,0.714547013432409,1
"321","ELECTRONICA DIGITAL I",9,1.46009389671362,0.555900621118012,1
"389","ESTUDIOS CULTURALES EN COMUNICACION",9,1.42009132420091,0.811641067097817,1
"408","ETICA Y COMUNICACION",9,1.44961240310078,0.718785796105384,1
"499","FRANCES II",9,1.31563421828909,0.627758007117438,1
"505","FUNDAMENTOS DE ADMINISTRACION",9,1.26492537313433,0.757616790792146,1
"1252.1","GLOBALIZACION CONCENTRACION Y NUEVO ORDEN INTERNACIONAL",9,1.42545454545455,0.690701001430615,1
"604","HISTORIA MUNDIAL DEL SIGLO XX",9,1.52631578947368,0.605594405594406,1
"748","LENGUAJE Y PENSAMIENTO II",9,1.46142069810165,0.689483540311453,1
"843","MICROPROCESADORES Y PERIFERICOS",9,1.48484848484848,0.75811209439528,1
